OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),"1:5,000 AEP SA_3s_NSHA23",,,,
348,63,8,67510.0,6.3,HW,B,2,0.023786,,,,
349,63,52,76436.6,7.2,HW,B,2,0.023786,,,,
350,63,52,91139.9,7.2,HW,B,2,0.023786,,,,
351,63,68.82108,92311.5,7.4,HW,B,2,0.023786,,,,
352,63,27,98857.9,6.9,HW,B,2,0.023786,,,,
353,64,93,19144.5,7.5,HW,B,1,0.015377,,,,
354,64,64,34505.8,7.3,HW,B,1,0.015377,,,,
355,64,111,46639.7,7.6,HW,B,1,0.015377,,,,
356,64,30,46738.0,7.0,HW,B,1,0.015377,,,,
357,64,57,50866.9,7.3,HW,D,1,0.015377,,,,
358,64,24,71348.9,6.8,HW,B,1,0.015377,,,,
359,64,34,75055.5,7.0,HW,D,1,0.015377,,,,
360,64,47,77519.4,7.2,HW,CD,1,0.015377,,,,
361,64,38,85226.3,7.1,HW,C,1,0.015377,,,,
362,64,10,94618.2,6.4,HW,B,1,0.015377,,,,
363,64,38,95131.1,7.1,HW,OTHER,1,0.015377,,,,
364,65,70,44229.0,7.4,HW,OTHER,2,0.016134,,,,
365,65,49,79308.8,7.2,HW,B,2,0.016134,,,,
366,65,55,88251.0,7.3,HW,B,2,0.016134,,,,
367,65,68,90282.6,7.4,HW,B,2,0.016134,,,,
368,65,24.633328,94002.4,6.9,HW,B,2,0.016134,,,,
369,65,72,94261.4,7.4,HW,B,2,0.016134,,,,
370,65,24.723261,98341.3,6.9,HW,OTHER,2,0.016134,,,,
371,65,64,101098.4,7.3,HW,B,2,0.016134,,,,
372,67,123,1373.6,7.7,HW,DE,2,0.023087,,,,
373,67,45,19141.7,7.2,HW,OTHER,2,0.023087,,,,
374,67,66,23804.4,7.4,HW,B,2,0.023087,,,,
375,67,31,32287.0,7.0,HW,B,2,0.023087,,,,
376,67,16,32349.7,6.6,HW,B,2,0.023087,,,,
377,67,162,40977.9,7.8,HW,CD,2,0.023087,,,,
378,67,30,47631.9,7.0,HW,B,2,0.023087,,,,
379,67,18,55459.7,6.7,HW,OTHER,2,0.023087,,,,
380,67,15,59209.0,6.6,HW,B,2,0.023087,,,,
381,67,19,62566.3,6.7,HW,B,2,0.023087,,,,
382,67,82,72009.9,7.5,HW,DE,2,0.023087,,,,
383,67,60,77126.2,7.3,HW,OTHER,2,0.023087,,,,
384,67,52,78307.1,7.2,HW,CD,2,0.023087,,,,
385,67,15,80394.1,6.6,HW,B,2,0.023087,,,,
386,67,54,80938.0,7.3,HW,B,2,0.023087,,,,
387,67,35,81360.2,7.0,HW,B,2,0.023087,,,,
388,67,114,82141.6,7.6,HW,B,2,0.023087,,,,
389,67,42,89931.5,7.1,HW,B,2,0.023087,,,,
390,67,40,93432.2,7.1,HW,CD,2,0.023087,,,,
391,67,26,94756.3,6.9,HW,CD,2,0.023087,,,,
392,67,14,95905.2,6.6,HW,B,2,0.023087,,,,
393,67,19,98044.9,6.7,HW,B,2,0.023087,,,,
394,67,44,103260.1,7.2,HW,B,2,0.023087,,,,
395,70,101,21938.1,7.6,HW,OTHER,2,0.023799,,,,
396,70,70,52001.2,7.4,HW,B,2,0.023799,,,,
397,70,56.215053,53456.8,7.3,HW,B,2,0.023799,,,,
398,70,29,71356.5,6.9,HW,B,2,0.023799,,,,
399,70,68,77558.4,7.4,HW,OTHER,2,0.023799,,,,
400,70,41,78537.9,7.1,HW,B,2,0.023799,,,,
401,70,42.07241,78453.3,7.1,HW,B,2,0.023799,,,,
402,70,24.633328,79607.0,6.9,HW,OTHER,2,0.023799,,,,
403,70,34,84399.7,7.0,HW,D,2,0.023799,,,,
404,70,24.723261,86306.3,6.9,HW,B,2,0.023799,,,,
405,70,7,90522.6,6.2,HW,B,2,0.023799,,,,
406,70,55,92608.4,7.3,HW,B,2,0.023799,,,,
407,70,64,93607.2,7.3,HW,D,2,0.023799,,,,
408,70,19,97380.7,6.7,HW,C,2,0.023799,,,,
409,70,25,102796.1,7.2,HW,B,2,0.023799,,,,
410,70,49,102718.4,6.9,HW,B,2,0.023799,,,,
411,70,59.978704,105426.4,7.3,HW,B,2,0.023799,,,,
412,70,60,106113.6,7.3, FW,B,2,0.023799,,,,
413,72,20,75766.2,6.8,HW,C,2,0.0070392,,,,
414,73,64,94068.6,7.3,HW,B,2,0.014306,,,,
415,74,15,5902.9,6.6,HW,B,2,0.016499,,,,
416,74,123,14534.9,7.7,HW,B,2,0.016499,,,,
417,74,26,19983.2,6.9,HW,B,2,0.016499,,,,
418,74,54,27763.2,7.3,HW,D,2,0.016499,,,,
419,74,162,34266.8,7.8,HW,B,2,0.016499,,,,
420,74,42,36905.5,7.1,HW,B,2,0.016499,,,,
421,74,16,51942.4,6.6,HW,D,2,0.016499,,,,
422,74,31,65431.3,7.0,HW,D,2,0.016499,,,,
423,74,85,72293.7,7.5,HW,D,2,0.016499,,,,
424,74,66,76979.4,7.4,HW,D,2,0.016499,,,,
425,74,56,79126.0,7.3,HW,B,2,0.016499,,,,
426,74,45,94854.1,7.2,HW,B,2,0.016499,,,,
427,74,19,96840.4,6.7,HW,B,2,0.016499,,,,
