# generated_by='OpenQuake engine 3.6.0', start_date='2019-09-26T01:23:50', checksum=1403906382, kind='quantile-0.85', investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.02
110.30260,-21.24350,1.121749E-02,4.525187E-02
110.30868,-21.91799,1.197352E-02,4.769118E-02
110.31500,-22.59248,1.287998E-02,4.897148E-02
110.32156,-23.26697,1.503076E-02,5.343651E-02
110.32838,-23.94147,1.768611E-02,5.369882E-02
110.33509,-44.98559,0.000000E+00,0.000000E+00
110.34141,-45.25539,0.000000E+00,0.000000E+00
110.34885,-25.83004,2.474691E-02,7.469144E-02
110.35659,-37.29639,4.041040E-03,2.067070E-02
110.35895,-6.94429,1.145915E-01,2.280221E-01
110.36149,-37.56619,3.506974E-03,1.931165E-02
110.36428,-46.19968,0.000000E+00,0.000000E+00
110.36777,-9.50735,6.077412E-01,1.090000E+00
110.37147,-27.71862,1.570634E-02,5.757758E-02
110.37489,-27.98841,1.516557E-02,5.480932E-02
110.37916,-38.51048,1.638117E-03,1.220382E-02
110.38364,-28.66290,1.347829E-02,5.052753E-02
110.38763,-13.55430,4.836600E-02,1.107368E-01
110.39251,-14.36369,3.236821E-02,7.023501E-02
110.39768,-39.45476,5.397629E-04,6.198276E-03
110.40228,-15.84757,2.016246E-02,4.014868E-02
110.40785,-30.41658,9.031002E-03,4.582275E-02
110.41314,-17.33145,1.670366E-02,4.123987E-02
110.41845,-18.00594,1.740675E-02,4.241555E-02
110.42400,-18.68043,1.713639E-02,4.145588E-02
110.43007,-31.90046,1.037015E-02,4.328377E-02
110.43642,-32.30516,1.319966E-02,4.881594E-02
110.44290,-32.70985,2.155874E-02,7.362901E-02
110.44951,-33.11455,3.585001E-02,1.103754E-01
110.45568,-42.15273,0.000000E+00,0.000000E+00
110.46254,-22.72738,1.416437E-02,5.058811E-02
110.46989,-23.40187,1.607628E-02,5.511186E-02
110.47732,-34.73333,3.565504E-02,1.098664E-01
110.48449,-43.36681,0.000000E+00,0.000000E+00
110.49198,-25.29045,2.898289E-02,8.903018E-02
110.49460,-35.67761,1.158703E-02,4.165876E-02
110.49757,-7.75368,1.761727E-01,3.494034E-01
110.50061,-8.56307,2.667106E-01,6.045109E-01
110.50396,-9.37246,5.778957E-01,1.090000E+00
110.50745,-36.35210,7.308133E-03,3.365856E-02
110.51098,-26.77433,2.194493E-02,7.406929E-02
110.51515,-44.58090,0.000000E+00,0.000000E+00
110.51868,-44.71580,0.000000E+00,0.000000E+00
110.52300,-13.01471,6.826416E-02,1.601542E-01
110.52726,-13.68920,4.541609E-02,1.023701E-01
110.53168,-37.56619,3.870528E-03,2.099012E-02
110.53650,-15.03818,2.553180E-02,5.301264E-02
110.54047,-15.57778,2.183285E-02,4.375397E-02
110.54565,-16.25227,1.879884E-02,3.772182E-02
110.55108,-16.92676,1.730466E-02,3.779302E-02
110.55560,-17.46635,1.711049E-02,4.447795E-02
110.56036,-38.91517,1.245065E-03,1.041049E-02
110.56640,-18.68043,1.753358E-02,4.260860E-02
110.57277,-19.35493,1.445832E-02,4.275789E-02
110.57941,-20.02942,1.383957E-02,4.897885E-02
110.58633,-20.70391,1.296432E-02,4.826010E-02
110.59353,-21.37840,1.281499E-02,4.958738E-02
110.60066,-40.66885,0.000000E+00,1.940229E-03
110.60722,-22.59248,1.452581E-02,5.067556E-02
110.61524,-23.26697,1.643425E-02,5.546910E-02
110.62315,-33.78904,3.888394E-02,1.128688E-01
110.62872,-24.34616,2.605796E-02,8.813783E-02
110.63170,-7.21408,1.338117E-01,2.486966E-01
110.63478,-8.02347,2.223651E-01,4.447360E-01
110.63821,-8.83286,4.259577E-01,9.689187E-01
110.64147,-34.73333,3.615684E-02,1.105255E-01
110.64538,-10.31674,1.090000E+00,1.090000E+00
110.64959,-35.13802,2.165385E-02,6.948183E-02
110.65373,-11.80062,1.477465E-01,3.008823E-01
110.65792,-12.47512,9.741322E-02,2.126972E-01
110.66237,-13.14961,6.384373E-02,1.517836E-01
110.66635,-43.23191,0.000000E+00,0.000000E+00
110.67203,-14.49859,3.142867E-02,6.758770E-02
