EVENT,GAID,LON,LAT,DEP,OMAG,OMAG_TYPE,MB,BRUNE_MAG,BRUNE_MAG_STD,STRESS_DROP,LOG_STRESS_DROP_STD,CORN_FREQ,CORN_FREQ_STD,NRECS,FMIN,FMAX,QUALITY,ML2800,ML2080,DOMAIN
2006-12-14T17:23:05.000000Z,ga2006yohogj,143.563,-42.791,27,4.4,ML,nan,4.383537572,0.286951841,0.371237405,0.891521854,0.788486497,1.066316024,6,0.6,5,1,4.204,4.107,EBGZ
2007-02-15T15:38:36.000000Z,ga2007dfuukw,113.276,-25.967,18.5,5.3,Mwp,nan,4.57209357,0.096956276,10.88226309,0.220886486,1.956765396,0.494397231,8,0.5,6,1,4.903,4.811,EBGZ
2007-03-08T02:34:11.000000Z,ga2007erjays,145.74,-37.9,9.7,3.5,MLa,nan,3.630694204,0.150512588,2.957811362,0.543599916,3.74675699,1.986996196,16,0.8,12,1,3.91,3.81,NCBM
2007-06-30T14:06:35.000000Z,ga2007mtmtyk,117.157,-30.77,8.4,3.8,MLa,nan,3.179629725,0.077049006,0.477414225,0.209779413,3.428962429,0.801234156,5,1,12,1,3.315,3.213,CBGZ
2007-08-28T15:33:04.000000Z,ga2007qxxmkd,115.942,-35.429,17.9,4.6,ML,nan,4.307247758,0.099676938,5.730908604,0.286091558,2.14353092,0.510177681,8,0.5,8,1,4.598,4.506,EBGZ
2007-09-16T23:18:34.000000Z,ga2007shjsgi,138.523,-31.392,32.5,4.8,ML,nan,4.292858606,0.131331695,12.85934128,0.645466571,2.853137764,1.492174494,14,0.7,7,1,4.521,4.43,NCBM
2007-10-09T23:58:40.000000Z,ga2007txqtbb,117.505,-33.946,0,4.8,ML,nan,4.655502036,0.35862771,0.872455957,0.264786415,0.766494936,0.29118272,5,0.5,8,1,4.843,4.756,CBGZ
2007-11-07T19:10:45.000000Z,ga2007vyngly,114.933,-23.833,0,4.4,ML,nan,3.855981574,0.15395601,1.114810439,0.264879432,2.088119548,0.752942274,7,0.8,7,1,3.931,3.839,EBGZ
2007-11-19T20:01:01.000000Z,ga2007wupqit,143.735,-12.336,24.4,4.8,mb,4.8,4.740255203,0.18103925,1.330812786,0.675311508,0.80030806,0.354088924,10,0.2,8,1,nan,nan,CBGZ
2007-12-26T15:36:11.000000Z,ga2007zkesrx,138.383,-32.086,16.4,4.7,ML,nan,4.454248986,0.172418017,3.263597556,0.472832316,1.500099884,0.704027042,33,0.04,6,1,4.523,4.435,NCBM
2008-03-31T08:27:48.000000Z,ga2008gjweup,112.332,-27.666,17.7,4.4,ML,nan,4.295734315,0.099348994,0.622311381,0.217614185,1.03628981,0.223793495,5,0.5,6,1,4.144,4.065,EBGZ
2008-05-28T04:30:52.000000Z,ga2008kmalrj,122.323,-18.596,0,4.7,ML,nan,3.98569645,0.100265461,1.777079506,0.379800767,2.100873318,0.763139844,5,0.7,10,2,nan,nan,CBGZ
2008-07-09T23:45:20.000000Z,ga2008nmpfma,125.223,-26.034,1.4,4.5,ML,nan,3.879012552,0.137806766,1.092875605,0.349675971,2.020054587,0.682190262,7,0.8,12,1,4.1,4.006,CBGZ
