STA,KAPPA,CNT
SB01,nan,1
SBSV,-0.011750,1
SC03,-0.017041,1
SC05,-0.034319,2
SC06,-0.075463,1
SC08,-0.029561,1
SC10,-0.009055,1
SCMB,0.007007,1
SD05,0.053305,1
SDAN,0.018355,48
SDN,0.018355,48
SGTH,-0.007864,1
SHY,0.021755,2
SHYM,0.021755,2
SIN,-0.013161,1
SING1,0.028434,4
SING2,0.033539,4
SING3,0.044726,2
SING4,0.022094,1
SMBT,0.035680,1
SOC03,0.094716,1
SOC05,0.096780,1
SOC06,0.099351,1
SOC07,0.035422,1
SOC08,0.032923,1
SOC09,-0.020532,1
SOC10,0.005060,1
SOC11,0.047139,1
SOC12,0.013199,1
SOC13,0.073158,1
SOC14,0.028296,1
SOC15,0.020353,1
SOC16,0.102930,1
SOGAP,0.078044,1
SOMU,0.037682,1
SRCHQ,-0.075099,1
STBK,-0.002572,5
STGU,0.032210,1
STK,0.009688,117
STKA,0.009688,117
STPK,0.009227,2
STR2,0.020385,14
STUCK,-0.034069,3
SUND,0.002971,9
SWH10,-0.012352,1
SWH5,0.040025,1
SWH8,0.028463,2
SWN00,-0.025322,13
SWN01,0.048615,11
SWN02,0.006538,12
SWN03,-0.000131,18
SWN04,-0.019993,6
SWN05,0.022071,13
SWN07,-0.008604,16
SWN08,0.057777,12
SWN09,-0.016553,12
SWN10,0.006606,9
SWN11,0.008382,10
SWN12,-0.025025,15
SWN13,-0.073875,2
SWN14,-0.035259,8
SWN15,0.004918,20
SWN16,0.016466,15
SWN17,0.015667,10
SWN18,0.048286,12
SWN19,-0.040369,7
SWN20,0.029170,9
SWN21,0.050111,13
SWN22,0.010872,17
SWN23,0.031791,13
SWN25,0.024446,11
SWN26,0.029250,18
SWN27,-0.014168,6
SWNJ2,0.004940,1
SWNNA,0.002475,4
SWNNB,0.022247,4
SWNNC,-0.002516,4
SWNND,0.003717,6
SWNNE,-0.052029,5
SWNNF,-0.028302,4
SWNNG,0.002264,2
SWNNH,0.058561,1
SWNNI,0.045271,3
SWNNK,-0.001366,3
SY01,0.009694,1
SY03,-0.002467,1
SY04,0.034686,1
SYDH,-0.060707,29
SYDS,-0.127437,26
TA04,0.026646,1
TA05,-0.030970,1
TA06,0.041437,1
TA10,0.008066,1
TA11,-0.002645,1
TA13,0.075145,1
TAL,0.015011,10
TALM,0.015011,10
TAT,0.002398,5
TATM,0.002398,5
TAU,0.076041,6
TB01,0.046090,1
TB02,0.092459,1
TB03,0.033653,1
TB04,0.074958,1
TL01,0.086769,2
TL02,0.021162,1
TL03,0.049378,3
TL04,0.044465,1
TL05,0.083417,1
TL06,0.039213,3
TL08,0.020048,1
TL10,0.107680,3
TL11,nan,1
TL12,0.042994,3
TL13,0.068280,3
TL14,0.016946,4
TL16,0.018501,4
TL17,-0.020253,4
TL18,-0.030325,3
TL19,nan,2
TL20,nan,2
TMA,-0.033203,1
TMP3,-0.008786,1
