STA,KAPPA,CNT
WR06,-0.092676,1
WR07,-0.061242,1
WR10,-0.116808,1
WR11,-0.007355,1
WRAB,-0.056714,12
WRKA,-0.097341,73
WRNM,-0.009238,1
WSK,-0.063742,1
WTPK,-0.066825,15
YAPP,-0.047694,21
YARR,0.002097,18
YE6,-0.062205,1
YER,-0.043886,5
YERM,-0.043886,5
YNG,-0.031013,52
YOU,-0.024842,6
MEDIAN_SITE,-0.032465,nan
